Disciplina;Frecuencia;Piloto
Otras;"A veces";False
TIC;"A veces";False
TIC;"Casi siempre";False
Otras;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"A veces";False
TIC;"A veces";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;Siempre;False
TIC;Siempre;False
TIC;Siempre;False
TIC;Siempre;False
TIC;"Casi siempre";False
Otras;"A veces";False
TIC;Nunca;False
TIC;"Casi siempre";False
Otras;Siempre;False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
Otras;"Casi siempre";False
TIC;"A veces";False
Otras;"A veces";False
TIC;"A veces";False
TIC;"Casi nunca";False
Otras;Siempre;False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"Casi nunca";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
Otras;"A veces";False
TIC;"A veces";False
Otras;"A veces";False
TIC;"Casi nunca";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"A veces";False
TIC;"Casi siempre";False
TIC;"A veces";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
Otras;"A veces";False
TIC;Siempre;False
Otras;"A veces";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
FFL;"A veces";False
FFL;"Casi siempre";False
TIC;"A veces";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
FFL;"Casi siempre";False
TIC;Siempre;False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
Otras;"A veces";False
Otras;Nunca;False
Otras;"A veces";False
FFL;Nunca;False
TIC;"Casi siempre";False
Otras;"A veces";False
TIC;"Casi siempre";False
Otras;Nunca;False
Otras;"Casi siempre";False
Otras;"A veces";False
TIC;"A veces";False
Otras;"Casi siempre";False
Otras;"A veces";False
TIC;Siempre;False
Otras;"Casi siempre";False
Otras;"Casi siempre";False
FFL;"A veces";False
Otras;"A veces";False
Otras;"A veces";False
Otras;"A veces";False
TIC;"Casi siempre";False
Otras;"Casi nunca";False
FFL;Siempre;False
Otras;Nunca;False
Otras;"Casi nunca";False
Otras;"A veces";False
Otras;"A veces";False
FFL;"Casi nunca";False
Otras;"A veces";False
TIC;"Casi nunca";False
Otras;"Casi nunca";False
TIC;Siempre;False
TIC;"A veces";False
TIC;"Casi siempre";False
Otras;Siempre;False
TIC;"Casi siempre";False
Otras;Siempre;False
FFL;"Casi nunca";False
Otras;"Casi siempre";False
FFL;"A veces";False
FFL;"Casi nunca";False
Otras;"Casi siempre";False
Otras;"A veces";False
TIC;"Casi siempre";False
Otras;"A veces";False
Otras;Nunca;False
Otras;"Casi siempre";False
Otras;"Casi siempre";False
Otras;"Casi nunca";False
Otras;"A veces";False
TIC;"Casi siempre";False
TIC;Siempre;False
Otras;"Casi siempre";False
FFL;"Casi nunca";False
FFL;"Casi siempre";False
FFL;"Casi nunca";False
FFL;"A veces";False
FFL;"Casi siempre";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"Casi nunca";False
FFL;"Casi nunca";False
FFL;"Casi siempre";False
FFL;"Casi nunca";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"Casi nunca";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"A veces";False
FFL;"Casi siempre";False
FFL;"A veces";False
Otras;"A veces";False
Otras;"Casi siempre";False
FFL;"A veces";False
FFL;"Casi nunca";False
Otras;Nunca;False
TIC;"A veces";False
TIC;"Casi siempre";False
TIC;"Casi siempre";False
TIC;Siempre;False
TIC;"Casi siempre";False
Otras;"A veces";False
TIC;"Casi nunca";False
TIC;"Casi siempre";False
Otras;"A veces";False
Otras;"Casi siempre";False
TIC;Siempre;False
Otras;"A veces";False
Otras;"Casi nunca";False
Otras;"Casi siempre";False
Otras;"Casi nunca";False
Otras;"Casi nunca";False
Otras;Nunca;True
TIC;"A veces";True
Otras;Siempre;True
FFL;Nunca;True
Otras;"A veces";True
FFL;"A veces";True
FFL;"A veces";True
FFL;Nunca;True
FFL;"A veces";True
FFL;"Casi nunca";True
FFL;"A veces";True
FFL;"A veces";True
FFL;"Casi nunca";True
Otras;"A veces";True
FFL;"Casi siempre";True
TIC;"A veces";True
TIC;"Casi siempre";True
Otras;"Casi siempre";True
Otras;"A veces";True
FFL;"A veces";True
TIC;"A veces";True
TIC;"Casi siempre";True
TIC;"A veces";True
TIC;"A veces";True
TIC;"Casi siempre";True
TIC;"A veces";True
TIC;"A veces";True
TIC;"Casi nunca";True
TIC;"A veces";True
TIC;Siempre;True
Otras;"A veces";True
TIC;"A veces";True
TIC;Siempre;True
TIC;"A veces";True
TIC;"Casi siempre";True
TIC;"A veces";True
Otras;"Casi nunca";True
Otras;"A veces";True
TIC;"A veces";True
FFL;"A veces";True
Otras;"A veces";True
TIC;"Casi siempre";True
TIC;"A veces";True
TIC;Siempre;True
TIC;"A veces";True
TIC;"Casi siempre";True
TIC;"A veces";True
TIC;Siempre;True
TIC;"A veces";True
FFL;"A veces";True
FFL;"A veces";True
FFL;"A veces";True
FFL;"A veces";True
FFL;"Casi nunca";True
FFL;"A veces";True
FFL;"A veces";True
FFL;Siempre;True
FFL;"A veces";True
TIC;"A veces";True
Otras;"A veces";True
FFL;"Casi siempre";True
TIC;"Casi siempre";True
TIC;"Casi nunca";True
TIC;"Casi siempre";True
TIC;"Casi siempre";True
TIC;"A veces";True
TIC;Siempre;True
TIC;"A veces";True
TIC;"A veces";True
TIC;Siempre;True
TIC;"A veces";True
TIC;Siempre;True
TIC;"A veces";True
TIC;"Casi siempre";True
TIC;"Casi siempre";True
TIC;"Casi siempre";True
TIC;"A veces";True
TIC;"A veces";True
TIC;"A veces";True
TIC;"A veces";True
TIC;"Casi nunca";True
TIC;"Casi siempre";True
TIC;"Casi siempre";True
