Disciplina;Género;"Mejora de Trabajos"
Otras;Masculino;"Me gustaría hacerlo"
TIC;Masculino;"Me gustaría hacerlo"
TIC;Masculino;"Lo he hecho"
Otras;Masculino;"Me gustaría hacerlo"
TIC;Femenino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Lo he hecho"
TIC;Masculino;"No me parece útil"
TIC;Femenino;"Me gustaría hacerlo"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Me gustaría hacerlo"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Lo he hecho"
TIC;"Prefiero no decirlo";"Lo he hecho"
TIC;Masculino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
TIC;Masculino;"No me parece útil"
TIC;Masculino;"Lo he hecho"
Otras;Masculino;"Lo he hecho"
TIC;Masculino;"Me gustaría hacerlo"
TIC;Femenino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
TIC;Femenino;"Me gustaría hacerlo"
Otras;Masculino;"Me gustaría hacerlo"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Me gustaría hacerlo"
Otras;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"No me parece útil"
TIC;Masculino;"Me gustaría hacerlo"
TIC;Masculino;"Me gustaría hacerlo"
Otras;Femenino;"No me parece útil"
TIC;Masculino;"Lo he hecho"
Otras;Femenino;"Me gustaría hacerlo"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
TIC;Masculino;"No me parece útil"
Otras;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Me gustaría hacerlo"
FFL;Femenino;"Lo he hecho"
FFL;Femenino;"Lo he hecho"
TIC;Masculino;"No me parece útil"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Femenino;"Lo he hecho"
FFL;Femenino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
Otras;Masculino;"Lo he hecho"
Otras;Masculino;"No me parece útil"
Otras;Masculino;"Lo he hecho"
FFL;"Prefiero no decirlo";"No me parece útil"
TIC;Masculino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
TIC;Masculino;"Lo he hecho"
Otras;Femenino;"No me parece útil"
Otras;Masculino;"Lo he hecho"
Otras;Femenino;"Me gustaría hacerlo"
TIC;Masculino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
TIC;Femenino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
FFL;Femenino;"Lo he hecho"
Otras;Femenino;"Lo he hecho"
