Disciplina;administrativas;burocracia;calendario;comunicacion-profesorado;feedback;generar-material;preguntas-temario;preparar-examen;profesor-particular;resumen;traduccion
TIC;"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";;"Me gustaría hacerlo";"No me parece útil";;"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
FFL;"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
TIC;;;;;;;;;;;
TIC;"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
TIC;"No me parece útil";;"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Lo he hecho";"No me parece útil";"No me parece útil";
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
FFL;"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
TIC;"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil"
TIC;"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
Otras;"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
Otras;"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
Otras;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho"
Otras;"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho"
Otras;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
Otras;"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
FFL;"No me parece útil";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
Otras;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo"
TIC;"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho"
Otras;"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
Otras;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";;"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Lo he hecho";"No me parece útil";"Lo he hecho"
Otras;"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";;"Lo he hecho";"Lo he hecho";"Lo he hecho";"No me parece útil";"Lo he hecho";"Lo he hecho"
Otras;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";;"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Me gustaría hacerlo";"No me parece útil";"No me parece útil";"No me parece útil";;"No me parece útil";"Me gustaría hacerlo";"Lo he hecho";"No me parece útil";"Me gustaría hacerlo";"Lo he hecho"
TIC;"Lo he hecho";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";;"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"No me parece útil";"Lo he hecho";"Lo he hecho"
TIC;"Me gustaría hacerlo";"No me parece útil";"Me gustaría hacerlo";"No me parece útil";;"No me parece útil";"No me parece útil";"No me parece útil";"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo"
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";;"Lo he hecho";"Me gustaría hacerlo";"Lo he hecho";"Me gustaría hacerlo";"Me gustaría hacerlo";"Lo he hecho"
FFL;"Me gustaría hacerlo";"Me gustaría hacerlo";"Me gustaría hacerlo";"No me parece útil";;"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"No me parece útil";"Lo he hecho"
